releve_num,Tmx,Tmy,SMCF_area_p,con_len,tri_mean_p,veg_di,near_dist,edge_len,specialist_richness,richness,buffer
19344,293730,2732614,0.842608952,2147.947968,330.8095027,0.362471322,210.7935465,1274.329956,8,22,500
17587,226559,2604074,0.6538581,1931.952766,246.7627185,0.254092132,34.65836631,1510.680138,14,29,500
16846,280695,2731796,0.919700331,2994.30114,321.9763191,0.590956361,5.459448211,1146.613007,9,26,500
17485,269313,2653181,0.904107251,3141.44512,304.27493,1.536360738,121.9725082,1818.47002,10,19,500
19793,288815,2676166,0.94087789,3065.367126,276.9554959,0.817766958,136.2396567,3432.519557,7,23,500
18818,304044,2670255,1,3140.992752,381.8713281,0.432581128,574.4646785,0,11,20,500
18817,304041,2670121,0.998080243,3127.736466,382.7997972,0.470369473,441.5014298,263.6159973,12,26,500
16558,276737,2718353,1,3141.328125,331.4704852,0.551041352,642.5358599,0,8,22,500
19680,264954,2581562,1,3141.523056,337.302892,0.298707128,761.2028068,0,6,22,500
19745,280718,2657684,0.927763385,2420.398308,425.9831446,0.864194024,320.0282944,1964.454701,2,10,500
19272,294214,2704666,1,3141.104111,331.3802074,0.599746286,632.2937934,0,9,20,500
18951,306172,2667761,0.548833542,1482.735535,355.6321667,0.694156571,172.3780293,2969.343099,4,25,500
18268,247413,2519008,1,3141.806885,353.6225023,0.261251691,509.5382313,0,7,21,500
18868,289321,2676589,0.772523704,2612.937296,348.3950804,0.264108153,172.9409025,6094.453357,9,22,500
18405,253211,2539285,0.927856737,2975.382324,278.214051,0,223.7115592,767.9689941,6,25,500
18407,254314,2539214,0.893496489,2772.438721,347.6703486,0,10.53553678,2139.159912,7,20,500
18848,291598,2674804,0.953641018,2767.099583,406.9813004,0,350.3499229,651.5982074,7,20,500
18359,251129,2569723,1,3141.736464,323.4828727,0.38629998,624.9256095,0,8,25,500
16491,288922,2725519,1,3141.166473,370.1772556,0.677717091,525.7064869,0,7,22,500
18355,251477,2569067,0.899762403,2577.493439,271.6601261,0.864649085,221.4434439,1259.428009,4,20,500
16490,289413,2725472,0.74218136,1839.83876,401.3376964,0.629088356,125.0886404,1720.814613,7,35,500
19065,322335,2697979,0.777892018,1664.631285,252.4375279,0.767221454,283.8559233,2534.648201,8,22,500
16785,287078,2713491,1,3141.192139,161.1179758,0,745.2096178,0,13,24,500
19208,285454,2700204,0.992474901,3069.172119,372.7891223,0.648284116,380.6606488,430.4100037,10,24,500
19062,322364,2697810,0.610067869,1387.312103,237.1243752,0.714114427,125.9112797,2805.445703,5,18,500
18816,304089,2670039,0.997289155,3128.974297,377.9257153,0.418561325,373.6973443,364.3376007,11,22,500
16452,295966,2737272,0.516766726,1306.278408,312.8577894,0.575257719,128.2914613,2741.462952,13,39,500
17103,273395,2679856,0.796590375,3078.354004,280.8848281,0.965181605,36.39112919,2341.997986,6,13,500
19708,273586,2606457,0.989589847,2914.91952,502.6289604,0.726262706,413.4464716,975.4957104,6,17,500
17114,273890,2677595,0.97056621,3022.379639,305.6376118,0.920698941,276.13284,1102.857971,9,15,500
18943,288346,2676260,0.986610452,2866.952542,357.6000588,0.87119953,328.7204472,1752.020901,8,22,500
17549,270383,2653019,0.975033526,3141.4299,364.9626684,1.168855034,84.67723021,880.0954895,8,22,500
19615,246888,2563215,1,3141.805588,343.8656915,0.002702616,743.1124962,0,7,17,500
18877,291160,2677390,0.987607506,3141.147049,381.7802199,0.971290456,84.31512348,1014.552994,13,31,500
19541,251331,2560018,1,3141.735397,388.6117589,0.189157085,980.9161023,0,11,27,500
19763,280600,2657972,0.895170555,2451.215992,435.0128721,0.597364151,286.0572292,1771.306807,4,13,500
17726,237388,2583693,0.526565386,2146.049408,361.1703233,0.497848854,1.790443554,2511.312988,7,17,500
18507,274919,2605106,0.967970646,3097.687696,322.4708004,0.50723538,57.11299273,3517.324253,7,23,500
19796,288430,2676271,0.987429451,3059.046315,338.8090508,0.928076256,294.3215978,1790.234245,6,14,500
16560,276850,2717692,1,3141.326843,328.1732178,0.685822145,579.7562139,0,10,25,500
16569,277851,2716585,0.984497329,3064.839741,330.8632557,0.504659525,371.3712366,434.2464767,12,18,500
18800,288632,2674715,0.81552896,2271.84082,398.7879726,1.306813311,168.1596227,1749.140015,7,17,500
16676,279380,2714414,1,3141.293228,232.162098,0.534524226,508.9848472,0,10,25,500
16564,276162,2715440,1,3141.33667,304.44069,0.689304133,522.5698782,0,7,17,500
16562,277798,2716578,0.981441881,3086.490097,330.1300826,0.465761377,339.8440339,606.3748776,13,19,500
16668,279110,2714706,0.987588311,3077.277359,321.6667204,0.739277645,390.7193479,325.8195095,8,20,500
